bldg_id,County,ASHRAE IECC Climate Zone 2004,Occupants,Vintage,Bedrooms,Floor Area SqFt,Geometry Stories,Geometry Garage,Windows,Window Areas,Infiltration,Lighting,Insulation Foundation Wall,Insulation Wall,Insulation Ceiling,Insulation Roof,Insulation Floor,Insulation Rim Joist,HVAC Heating Fuel,HVAC Heating Efficiency,HVAC Cooling Efficiency,Usage Level,Roof Material,Cooling Setpoint,Heating Setpoint,Dishwasher,Cooking Range,Plug Loads,Clothes Dryer,Clothes Washer,Refrigerator,Water Heater Efficiency,Hot Water Fixtures
445261,G0600370,3B,2,1940s,2,1698,1,2 Car,"Single, Clear, Non-metal",F6 B6 L6 R6,10 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-49",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","Room AC, EER 10.7",Medium,Wood Shingles,70F,68F,290 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
241526,G0600370,3B,1,<1940,3,1698,1,None,"Single, Clear, Non-metal",F15 B15 L15 R15,20 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",R-7,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 76% AFUE",None,Medium,"Metal, Dark",78F,70F,318 Rated kWh,Gas,94%,Gas,EnergyStar,EF 19.9,Natural Gas Standard,100% Usage
362094,G0600370,3B,2,2000s,2,1698,2,2 Car,"Double, Low-E, Non-metal, Air, M-Gain",F12 B12 L12 R12,15 ACH50,100% Incandescent,None,"Wood Stud, R-11",None,"Finished, R-38",None,None,Electricity,"Electric Wall Furnace, 100% AFUE","AC, SEER 13",High,Composition Shingles,76F,68F,290 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 21.9,Natural Gas Premium,200% Usage
175315,G0600370,3B,3,<1940,3,1228,1,None,"Single, Clear, Metal",F9 B9 L9 R9,15 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Asphalt Shingles, Medium",75F,72F,318 Rated kWh,Gas,94%,None,None,None,Natural Gas Standard,50% Usage
46236,G0600370,3B,4,1940s,1,298,1,None,"Single, Clear, Non-metal, Exterior Clear Storm",F12 B12 L12 R12,30 ACH50,100% LED,None,"Wood Stud, Uninsulated",None,"Finished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 80% AFUE",None,Medium,Composition Shingles,76F,70F,None,Gas,94%,Electric,EnergyStar,EF 19.9,Natural Gas Standard,100% Usage
430106,G0600370,3B,2,1950s,4,1228,2,1 Car,"Single, Clear, Metal",F18 B18 L18 R18,25 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-49",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 76% AFUE","AC, SEER 13",Medium,Composition Shingles,67F,72F,None,Gas,94%,Gas,Standard,EF 17.6,Electric Standard,100% Usage
83822,G0600770,3B,3,1950s,4,2179,2,2 Car,"Double, Clear, Metal, Air",F18 B18 L18 R18,20 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-19",Uninsulated,Uninsulated,Electricity,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Medium,"Metal, Dark",75F,75F,318 Rated kWh,Gas,94%,Electric,Standard,EF 21.9,Natural Gas Premium,100% Usage
503812,G0600770,3B,4,1970s,3,1228,1,1 Car,"Double, Clear, Non-metal, Air",F18 B18 L18 R18,15 ACH50,100% LED,None,"Wood Stud, R-7",R-38,"Unfinished, Uninsulated",None,None,Electricity,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,High,"Asphalt Shingles, Medium",80F,67F,318 Rated kWh,Electric Resistance,94%,Electric,EnergyStar,EF 17.6,Natural Gas Premium,200% Usage
51059,G0600770,3B,1,<1940,2,881,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F9 B9 L9 R9,20 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE",None,Low,Composition Shingles,76F,75F,290 Rated kWh,Electric Resistance,94%,Gas,Standard,EF 17.6,Natural Gas Tankless,50% Usage
415214,G0600770,3B,3,1980s,4,2179,1,2 Car,"Double, Clear, Metal, Air",F9 B9 L9 R9,4 ACH50,100% CFL,Uninsulated,"Wood Stud, R-11",R-13,"Unfinished, Uninsulated",Ceiling R-19,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",Medium,"Asphalt Shingles, Medium",75F,72F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 19.9,Electric Standard,100% Usage
96548,G0600770,3B,2,2000s,4,2678,2,3 Car,"Double, Clear, Metal, Air",F18 B18 L18 R18,10 ACH50,100% CFL,Uninsulated,"Wood Stud, R-15",None,"Finished, R-30",Ceiling R-19,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",Medium,"Tile, Concrete",80F,62F,318 Rated kWh,Gas,94%,Electric,Standard,EF 15.9,Natural Gas Tankless,100% Usage
400968,G0600770,3B,3,2000s,5,2678,2,3 Car,"Double, Clear, Non-metal, Air",F9 B9 L9 R9,15 ACH50,100% CFL,None,"Wood Stud, R-19",R-30,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",Medium,Composition Shingles,70F,62F,318 Rated kWh,Gas,94%,Electric,Standard,EF 15.9,Natural Gas Standard,100% Usage
423370,G0600990,3B,4,2000s,2,881,1,1 Car,"Double, Clear, Metal, Air",F12 B12 L12 R12,10 ACH50,100% Incandescent,None,"Wood Stud, R-11",R-30,"Unfinished, Uninsulated",None,None,Electricity,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Medium,Composition Shingles,78F,70F,290 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
464567,G0600990,3B,2,1970s,3,1228,1,None,"Double, Clear, Non-metal, Air",F15 B15 L15 R15,10 ACH50,100% CFL,None,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Medium,Composition Shingles,75F,72F,290 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
374719,G0600990,3B,1,1990s,3,2179,2,2 Car,"Double, Clear, Non-metal, Air",F9 B9 L9 R9,5 ACH50,100% Incandescent,None,"Wood Stud, R-19",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",Medium,Composition Shingles,78F,72F,290 Rated kWh,Electric Resistance,94%,Gas,Standard,EF 17.6,Natural Gas Premium,100% Usage
